name;media 11 GHz;std 11 GHz;media 13 GHz;std 13 GHz;media 17 GHz;std 17 GHz;media 19 GHz;std 19 GHz;glat;glon;SNR 11 GHz;SNR 13 GHz;SNR 17 GHz;SNR 19 GHz
MFI-PSCe-488;0.94448614;0.14872588;0.13235244;0.19966948;3.649286e-05;0.000121838624;1.1354736e-05;6.93527e-05;65.80400383531702;173.56900796905265;2.3771048895809064;2.057704678516877;1.7270410101704499;1.9432862710261853
MFI-PSCe-489;0.9992714;0.004285906;0.9999382;0.00023036459;1.0;7.679521e-08;0.99987364;0.00080985896;69.81399833102854;174.4780050146585;4.762919210458904;4.528774781581523;4.198126079411283;3.376802465198768
MFI-PSCe-490;0.99974585;0.00057799876;0.999316;0.0037886587;7.495938e-08;4.3777237e-07;4.022791e-06;2.1540838e-05;31.68000327172645;174.7200078921296;2.3838597810291153;1.8714086389854792;1.6261325294630091;1.6271051089005548
MFI-PSCe-492;1.0;0.0;1.0;0.0;0.99954695;0.0024983992;0.9398942;0.18790843;44.810004326569846;175.71700223940775;4.618460254268518;4.388747031879131;2.072359530509554;2.0793931949351303
MFI-PSCe-493;4.752171e-14;3.118778e-13;1.91163e-05;0.000105294865;9.798515e-09;5.697151e-08;0.00053579774;0.0026886836;64.76000508267474;176.2080004975522;0.5844910706895504;1.0108183110168303;0.4898195518444802;0.9876514941179416
MFI-PSCe-495;0.99998003;0.00012350387;0.99980944;0.0010478661;0.9999234;0.00024101418;0.46100795;0.39317748;58.351000854051264;177.3740005544438;4.664581644801921;4.149193767824995;3.208171308811631;2.445645947802238
MFI-PSCe-497;0.999987;5.470043e-05;0.99983954;0.00086639053;0.000929253;0.0060345437;5.4872708e-06;2.4043788e-05;33.39000230513801;178.25101390197528;3.654553679939133;3.331255937656217;1.339046744079688;1.260544871174168
MFI-PSCe-498;1.0;1.4329929e-07;1.0;1.6858738e-08;1.0;2.528811e-08;0.965455;0.040512443;42.90400224288748;178.32700292346598;1.614653718872815;1.2563234269136512;1.7528385377178792;2.347774228414157
MFI-PSCe-501;1.0;2.2992255e-07;1.0;1.6858738e-08;0.9954242;0.015810113;0.9744987;0.08955963;31.445002586732784;179.66600718816738;3.829130434735019;4.72621518884567;3.634910340545324;2.776225770464234
MFI-PSCe-503;0.9514427;0.12823358;0.00056720397;0.0020307445;0.00035239235;0.0013727015;0.04861914;0.13165525;65.00100234084839;179.76900554432953;2.3208333372495025;1.16053859394688;1.1157222249646697;1.0430945188528573
MFI-PSCe-506;0.82888055;0.30196923;0.27893582;0.3563025;0.006061563;0.0260319;0.6631197;0.31592384;34.047003767008775;180.2310097124329;1.9216804748150758;1.804255504892735;2.0478627723088643;2.4167910918913376
MFI-PSCe-508;0.80851835;0.3399338;0.9999253;0.00038181155;2.5159034e-05;8.1889564e-05;0.057140976;0.17484368;56.85200406264015;180.76200122573147;2.3970483498564223;2.4328614725920237;1.316590204676306;1.0569920370662866
MFI-PSCe-510;1.0;1.1801118e-07;1.0;2.8134403e-07;0.9999984;6.057914e-06;0.9999365;0.00025463302;50.28900433358177;180.96401200416852;1.1282361021761864;1.4380242904199412;2.717777697961521;3.2288839042667004
MFI-PSCe-512;0.9999934;2.942955e-05;0.9999979;1.4541796e-05;0.5696719;0.44513685;0.31800407;0.37574446;34.17000101481164;182.17000514274488;3.3027144132115724;2.830933117277145;2.791686619041577;2.87654229732146
MFI-PSCe-514;0.99782425;0.01112243;0.9999694;0.000101391495;0.9998878;0.00053210335;0.11749864;0.16510609;49.00200174210904;182.4320143510664;0.6273783850952106;0.4635083532703963;1.963013908189024;2.4282106518207236
MFI-PSCe-516;0.9999988;6.090148e-06;1.0;2.5484036e-07;1.0;2.528811e-08;0.8086224;0.2688694;44.18200201940985;183.8050000550789;0.9346511571256979;1.1115602474266377;1.99301685794345;2.2771110839162634
MFI-PSCe-518;0.99755377;0.009735003;0.92532957;0.15499698;0.9999981;1.3029766e-05;0.99999976;1.1190127e-06;31.890002179499923;184.88300259908772;2.8438425754677925;2.2117320099614686;3.272246653440643;3.1936090140650824
MFI-PSCe-520;0.82306635;0.28677648;0.9996733;0.0016528756;0.60665345;0.3751807;0.38744044;0.3371651;-70.22999296377105;186.0570094174932;2.3854308517430898;2.3939626363335;1.8944037462664014;1.324765742737438
MFI-PSCe-521;0.034150425;0.13004346;0.0008785399;0.0025539207;0.9997027;0.0007658354;0.30362788;0.39718533;67.48100555638948;186.70400419326387;2.9939165529061484;2.684770943294754;1.8701703342599192;1.4415942614921664
MFI-PSCe-526;0.9992586;0.004980159;0.9999735;0.00017963619;9.214323e-05;0.0006234024;0.0068197404;0.018374888;56.39200099751196;188.45900798824653;3.4365437604059426;3.0224287552304347;0.03341218471479985;
MFI-PSCe-527;0.9999997;1.3603185e-06;0.99999976;1.1565145e-06;0.9999952;1.9299703e-05;0.9409299;0.08549248;48.71600230874048;188.5000078368884;0.6329312870154563;0.9232908415758022;1.4757938013370133;1.5863710366212527
MFI-PSCe-531;0.999543;0.001544681;0.9392084;0.12291063;1.0;1.8848644e-08;0.9317991;0.17007802;82.07000237925426;189.33801415166167;1.3812045527390575;1.1582998478110123;2.3857071798777114;2.017407840545882
MFI-PSCe-532;0.99986684;0.0008405276;0.99999994;3.5543565e-07;0.12951253;0.28899062;0.13022153;0.19616446;54.0030010198684;189.98000399810024;4.260829074541589;3.237709681375693;2.176993798277144;1.4395853846514823
